letter_name,script_title,font_title,char
Aleph,Hieroglyphs (Egyptian),Noto Egyptian,𓃾
Beyt,Hieroglyphs (Egyptian),Noto Egyptian,𓉔
Gimel,Hieroglyphs (Egyptian),Noto Egyptian,𓌙
Dalet,Hieroglyphs (Egyptian),Noto Egyptian,𓆟
Hey,Hieroglyphs (Egyptian),Noto Egyptian,𓀠
Vav,Hieroglyphs (Egyptian),Noto Egyptian,𓌉
Zayin,Hieroglyphs (Egyptian),Noto Egyptian,𓌻
Chet,Hieroglyphs (Egyptian),Noto Egyptian,𓉗
Tet,Hieroglyphs (Egyptian),Noto Egyptian,𓄤
Yod,Hieroglyphs (Egyptian),Noto Egyptian,𓂝
Kaph,Hieroglyphs (Egyptian),Noto Egyptian,𓂧
Lamed,Hieroglyphs (Egyptian),Noto Egyptian,𓋿
Mem,Hieroglyphs (Egyptian),Noto Egyptian,𓈖
Nun,Hieroglyphs (Egyptian),Noto Egyptian,𓆓
Samech,Hieroglyphs (Egyptian),Noto Egyptian,𓊽
Ayin,Hieroglyphs (Egyptian),Noto Egyptian,𓁹
Pey,Hieroglyphs (Egyptian),Noto Egyptian,𓂋
Tzaddi,Hieroglyphs (Egyptian),Noto Egyptian,𓇑
Quph,Hieroglyphs (Egyptian),Noto Egyptian,𓎗
Resh,Hieroglyphs (Egyptian),Noto Egyptian,𓁶
Shin,Hieroglyphs (Egyptian),Noto Egyptian,𓌔
Tav,Hieroglyphs (Egyptian),Noto Egyptian,𓏴
Aleph,Phoenician/ Canaanite,Noto Sans Phoenician,𐤀
Beyt,Phoenician/ Canaanite,Noto Sans Phoenician,𐤁
Gimel,Phoenician/ Canaanite,Noto Sans Phoenician,𐤂
Dalet,Phoenician/ Canaanite,Noto Sans Phoenician,𐤃
Hey,Phoenician/ Canaanite,Noto Sans Phoenician,𐤄
Vav,Phoenician/ Canaanite,Noto Sans Phoenician,𐤅
Zayin,Phoenician/ Canaanite,Noto Sans Phoenician,𐤆
Chet,Phoenician/ Canaanite,Noto Sans Phoenician,𐤇
Tet,Phoenician/ Canaanite,Noto Sans Phoenician,𐤈
Yod,Phoenician/ Canaanite,Noto Sans Phoenician,𐤉
Kaph,Phoenician/ Canaanite,Noto Sans Phoenician,𐤊
Lamed,Phoenician/ Canaanite,Noto Sans Phoenician,𐤋
Mem,Phoenician/ Canaanite,Noto Sans Phoenician,𐤌
Nun,Phoenician/ Canaanite,Noto Sans Phoenician,𐤍
Samech,Phoenician/ Canaanite,Noto Sans Phoenician,𐤎
Ayin,Phoenician/ Canaanite,Noto Sans Phoenician,𐤏
Pey,Phoenician/ Canaanite,Noto Sans Phoenician,𐤐
Tzaddi,Phoenician/ Canaanite,Noto Sans Phoenician,𐤑
Quph,Phoenician/ Canaanite,Noto Sans Phoenician,𐤒
